time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331250,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331242.895,1656331242.895
1656331250,c07eda,43.8775634765625,-79.79849172192951,155.3654948765532,90.37943670141898,-5.52704,WJA520  ,False,False,False,7165,2545.08,2567.94,1656331249.997,1656331250.0
1656331250,c07f2e,43.6900749206543,-79.63690646859101,,,,WEN3218 ,True,False,False,3414,144.78,,1656331243.559,1656331245.784
1656331250,c08048,43.589746507547666,-79.70312935965404,135.2948598217665,147.57893523749306,6.1772800000000005,HRT119  ,False,False,False,6320,1577.3400000000001,1584.96,1656331249.569,1656331249.997
1656331250,a6f280,43.79206253310381,-79.47045462472101,82.61432474328107,254.838757421862,0.0,LXJ547  ,False,False,False,4123,891.5400000000001,883.9200000000001,1656331249.802,1656331250.0
1656331250,a70812,43.64249019299523,-79.64270455496654,91.34097729667884,223.40252380275436,11.3792,JIA5117 ,False,False,False,0546,632.46,624.84,1656331249.413,1656331249.918
1656331250,a1094c,43.20624917240466,-79.19049944196428,156.58884407725347,308.8655900560761,-8.128,EDV4942 ,False,False,False,7135,4526.280000000001,4617.72,1656331249.972,1656331249.972
1656331250,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,144.78,137.16,1656331248.84,1656331249.917
1656331250,c06973,43.917572021484375,-80.30079686364462,52.847698107601694,31.059408829709984,-1.30048,CGNYG   ,False,False,False,1200,891.5400000000001,883.9200000000001,1656331249.291,1656331249.454
1656331250,c1e7e7,43.66703796386719,-79.62301387343297,,,,,True,False,False,,,,1656331239.185,1656331239.185
1656331250,ac71e7,43.67705522957495,-79.59681374686107,,,,AAL1746 ,True,False,False,2237,,,1656331249.639,1656331249.64
1656331250,c01d3c,43.68053500935183,-79.62347848074779,,,,WSW748  ,True,False,False,0533,,,1656331245.482,1656331245.482
1656331250,a73db7,43.13397216796875,-79.6067419717478,123.30032554992513,274.3070321860023,0.0,N566FF  ,False,False,False,3413,9144.0,9441.18,1656331249.74,1656331249.972
1656331250,c040c5,43.67168426513672,-79.61127702579944,,,,ROU1790 ,True,False,False,2231,144.78,,1656331248.837,1656331248.959
1656331250,c0636a,43.636345297603285,-79.33037894112726,61.7525686366213,271.4320961841646,-3.2512000000000003,POE532  ,False,False,False,5537,358.14000000000004,350.52000000000004,1656331249.791,1656331249.984
1656331250,a3183d,43.28385175284693,-78.9721461704799,268.57967879281904,90.98776039963982,0.32512,EDV5130 ,False,False,False,6257,10668.0,11056.62,1656331249.997,1656331249.997
1656331250,c063c3,43.75080871582031,-80.17694517623545,93.14988512528019,178.41764607738142,-2.60096,CGLUG   ,False,False,False,0654,1303.02,1295.4,1656331249.74,1656331249.918
1656331250,a162fc,43.66204833984375,-79.18823951898617,235.4203891674927,46.32810318628705,-12.679680000000001,N189K   ,False,False,False,6640,4937.76,4998.72,1656331249.997,1656331249.997
1656331250,c0371f,43.545501708984375,-79.8241051962209,129.99257813557512,297.07208023799274,14.955520000000002,WJA701  ,False,False,False,2244,2324.1,2331.72,1656331249.973,1656331250.0
1656331250,c05bd5,43.67988967895508,-79.61970839389534,,,,ACA604  ,True,False,False,,,,1656331248.972,1656331248.972
1656331250,c060b3,43.32069396972656,-79.10232898800871,124.47525124604938,340.44174846300257,-4.8768,POE118  ,False,False,False,4361,1821.18,1836.42,1656331249.879,1656331249.984
1656331250,c1e805,43.67721176147461,-79.6542801967887,,,,,True,False,False,,,,1656331249.568,1656331249.568
1656331250,c01e28,43.73983092227224,-79.56861223493303,85.13387634495739,225.9793196543395,-4.55168,ACA401  ,False,False,False,1076,541.02,541.02,1656331249.74,1656331249.997
1656331250,c04167,43.9178466796875,-79.47647094726562,91.60137338903212,326.2206867837152,4.8768,CFYTY   ,False,False,False,6353,5364.4800000000005,5455.92,1656331249.886,1656331249.984
1656331250,78149e,43.679901123046875,-79.65456762979198,50.948140167879416,226.63657704161673,0.0,CSN5051 ,True,False,False,4153,,,1656331249.638,1656331249.879
1656331250,c038ac,43.67961502075195,-79.61788798487464,,,,ACA185  ,True,False,False,,,,1656331249.578,1656331249.578
1656331250,aa395b,43.05244057865466,-79.09600394112726,205.17610754214775,315.6095065766752,0.32512,SKW3017 ,False,False,False,1150,10972.800000000001,11353.800000000001,1656331249.662,1656331249.903
